ID,Title,Year,Age,IMDb,Rotten Tomatoes,Runtime
298,Creep 2,2017,,6.4,100%,78
299,Terminator 3: Rise of the Machines,2003,18+,6.3,69%,109
300,Unrest,2017,,7.7,100%,88
301,Guru,2007,13+,7.7,83%,166
302,Louis C.K. 2017,2017,18+,7.6,100%,74
303,A Twelve-Year Night,2018,,7.6,88%,122
304,Happy as Lazzaro,2018,,7.6,91%,128
305,"What Happened, Miss Simone?",2015,,7.6,89%,101
306,Blue Jay,2016,,7.3,90%,80
307,1922,2017,18+,6.3,90%,102
308,Hancock,2008,13+,6.4,41%,92
309,Circus of Books,2019,,7.1,98%,92
310,"Hail, Caesar!",2016,13+,6.3,85%,106
311,The Pixar Story,2007,all,7.8,86%,88
312,Child's Play,1988,18+,6.6,71%,90
313,Springsteen On Broadway,2018,,8.5,95%,153
314,The Angry Birds Movie 2,2019,7+,6.4,73%,97
315,Obvious Child,2014,18+,6.8,90%,84
316,Awe!,2018,,7.8,100%,150
317,American Honey,2016,18+,7,79%,163
318,Last Breath,2019,,7.7,92%,90
319,Udta Punjab,2016,18+,7.8,91%,148
320,Den of Thieves,2018,18+,7,41%,140
321,Wadjda,2012,7+,7.5,99%,98
322,The Spiderwick Chronicles,2008,7+,6.5,80%,96
323,The Christmas Chronicles,2018,7+,7.1,64%,104
324,Turbo,2013,7+,6.4,67%,96
325,My Girl,1991,7+,6.9,53%,102
326,22-Jul,2018,18+,6.8,80%,143
327,Adam Sandler: 100% Fresh,2018,18+,7.6,92%,73
328,Remember,2015,18+,7.5,70%,94
329,Triple Frontier,2019,18+,6.4,72%,125
330,Bombshell: The Hedy Lamarr Story,2018,13+,7.4,96%,88
331,Paddleton,2019,18+,7.2,89%,89
332,Bad Boys II,2003,18+,6.6,23%,147
333,Sour Grapes,2016,16+,7.3,96%,91
334,Betting on Zero,2017,,7.2,100%,99
335,Delhi Belly,2011,,7.5,87%,103
336,Being Elmo: A Puppeteer's Journey,2011,7+,7.6,95%,80
337,Williams,2017,,7.6,93%,109
338,It Comes at Night,2017,18+,6.2,87%,91
339,Cuba and the Cameraman,2017,,8.2,100%,113
340,Creep,2014,18+,6.3,89%,77
341,The Interview,2014,18+,6.5,52%,112
342,Bobby Robson: More Than a Manager,2018,,8.2,100%,104
343,Outbreak,1995,18+,6.6,59%,127
344,Black Snake Moan,2006,18+,6.9,66%,116
345,Bright,2017,18+,6.3,28%,117
346,Cargo,2017,,6.3,85%,105
347,Even the Rain,2010,,7.4,87%,103
348,Candyman,1992,18+,6.6,74%,99
349,Mary and the Witch's Flower,2017,7+,6.8,89%,103
350,Calibre,2018,18+,6.7,93%,101
351,First They Killed My Father,2017,18+,7.2,89%,136
352,Us and Them,2018,,7.3,100%,120
353,Up in Smoke,1978,18+,7,50%,86
354,Final Destination,2000,18+,6.7,35%,98
355,Kill the Messenger,2014,18+,6.9,77%,112
356,Operation Odessa,2018,18+,7.8,100%,95
357,The American Meme,2018,,7.3,100%,98
358,Outlaw King,2018,18+,6.9,61%,121
359,21,2008,13+,6.8,36%,123
360,Holding the Man,2015,,7.4,81%,127
361,Krisha,2016,18+,7.2,95%,83
362,De Palma,2016,18+,7.4,94%,110
363,Dear Ex,2018,18+,7.4,89%,100
364,Tomorrow Never Dies,1997,13+,6.5,57%,119
365,Veronica,2017,18+,6.2,88%,94
366,The Cakemaker,2017,,7.2,98%,113
367,Instructions Not Included,2013,13+,7.5,57%,115
368,Bleed for This,2016,18+,6.8,69%,117
369,Girl,2018,18+,7.2,84%,105
370,The Naked Gun 2½: The Smell of Fear,1991,13+,6.9,57%,85
371,Bareilly's Barfi,2017,,7.5,86%,116
372,The Sky Is Pink,2019,,7.5,72%,143
373,Chitty Chitty Bang Bang,1968,all,6.9,67%,144
374,A Wednesday!,2008,,8.1,,104
375,Jodhaa Akbar,2008,13+,7.6,75%,213
376,Handsome Devil,2017,,7.1,83%,95
377,"Love, Rosie",2014,18+,7.2,33%,102
378,Oceans,2009,all,7.8,81%,104
379,The Ritual,2017,18+,6.3,71%,94
380,Super Dark Times,2017,,6.6,89%,103
381,Tallulah,2016,,6.7,84%,111
382,Other People,2016,,6.8,85%,97
383,Alpha Dog,2006,18+,6.9,54%,122
384,Spectral,2016,13+,6.3,75%,107
385,The Babysitter,2017,18+,6.3,71%,85
386,"Extremely Wicked, Shockingly Evil and Vile",2019,18+,6.6,55%,110
387,Heneral Luna,2015,18+,7.6,71%,118
388,Click,2006,13+,6.4,33%,107
389,The Duchess,2008,13+,6.9,62%,110
390,The Last Man on the Moon,2016,18+,7.4,94%,95
391,The 24 Hour War,2016,,7.2,100%,99
392,Mune: Guardian of the Moon,2015,7+,7.2,80%,85
393,The Devil We Know,2018,,7.7,100%,95
394,How the Grinch Stole Christmas,2000,7+,6.2,50%,104
395,LA Originals,2020,,7.3,83%,92
396,Whisky,2004,,7.1,100%,99
397,The Sapphires,2012,13+,7,91%,103
398,Bloodsport,1988,18+,6.8,40%,92
399,Tinker Bell and the Legend of the NeverBeast,2014,all,7.3,75%,76
400,Get Me Roger Stone,2017,16+,7.4,88%,92
401,Alex Strangelove,2018,18+,6.3,86%,99
402,She's Out of My League,2010,18+,6.4,58%,104
403,Sarah's Key,2010,13+,7.5,72%,111
404,My Happy Family,2017,,7.4,100%,120
405,Killing Them Softly,2012,18+,6.2,73%,97
406,Ittefaq,2017,7+,7.2,89%,105
407,6 Underground,2019,18+,6.1,36%,128
408,The Accountant of Auschwitz,2018,,7.3,100%,78
409,Echo in the Canyon,2019,13+,7,92%,82
410,Hold the Dark,2018,,5.6,73%,125
411,Suffragette,2015,13+,6.9,73%,106
412,The Siege of Jadotville,2016,,7.2,60%,108
413,Terminator Salvation,2009,13+,6.5,33%,115
414,Hotel Transylvania 3: Summer Vacation,2018,7+,6.3,62%,97
415,Filmworker,2018,,7.4,95%,94
416,Our Souls at Night,2017,16+,6.9,90%,103
417,Mine 9,2019,,6.7,88%,83
418,Everybody Knows,2018,18+,6.9,78%,133
419,Retribution,2015,,6.6,100%,60
420,Ice Guardians,2016,,7.5,100%,108
421,Tinker Bell and the Pirate Fairy,2014,all,6.6,81%,78
422,The World Is Not Enough,1999,13+,6.4,52%,128
423,Suite Française,2014,,7,76%,107
424,Period. End of Sentence.,2018,,7.4,83%,26
425,Beyond the Mat,1999,18+,7.6,82%,102
426,Next Gen,2018,7+,6.6,80%,106
427,Cam,2018,18+,5.9,93%,94
428,Divines,2016,,7.4,83%,105
429,Shirkers,2018,,7.4,100%,97
430,Underworld: Evolution,2006,18+,6.7,17%,106
431,Om Shanti Om,2007,7+,6.7,76%,162
432,How to Change the World,2015,,7.6,95%,110
433,Spitfire,2018,7+,7.5,94%,87
434,You Are My Sunday,2016,,7.7,100%,119
435,Dear Zindagi,2016,13+,7.6,69%,151
436,Uncorked,2020,13+,6.1,93%,104
437,The Water Diviner,2014,18+,7,61%,111
438,Gaga: Five Foot Two,2017,18+,7,74%,100
439,Austin Powers in Goldmember,2002,13+,6.2,54%,94
440,He Never Died,2015,18+,6.4,87%,99
441,Black Sea,2014,18+,6.4,80%,114
442,Ali's Wedding,2017,18+,6.9,92%,110
443,Event Horizon,1997,18+,6.7,27%,96
444,Mississippi Grind,2015,18+,6.4,91%,108
445,They'll Love Me When I'm Dead,2018,18+,7.4,92%,98
446,Kai Po Che!,2013,,7.6,76%,120
447,Badla,2019,7+,7.9,57%,118
448,Young Adult,2011,18+,6.2,80%,94
449,ZZ Top: That Little Ol' Band From Texas,2019,,7.4,100%,91
450,Scary Movie,2000,18+,6.2,53%,111
451,The Dirt,2019,18+,7,42%,107
452,Killer Klowns from Outer Space,1988,13+,6.2,78%,88
453,The Exception,2017,18+,6.8,74%,107
454,Spenser Confidential,2020,18+,6.2,38%,111
455,Wheelman,2017,18+,6.4,88%,82
456,While We're Young,2014,18+,6.3,84%,97
457,Die Another Day,2002,13+,6.1,57%,133
458,The Grandmaster,2013,13+,6.6,78%,130
459,Bathtubs Over Broadway,2018,13+,7.5,100%,87
460,Cadillac Records,2008,18+,7,67%,109
461,I am Divine,2013,,7.6,96%,90
462,King Jack,2015,,7,94%,81
463,The Runaways,2010,18+,6.5,70%,106
464,2012,2009,13+,5.8,39%,158
465,The Half of It,2020,13+,7,95%,104
466,Tigertail,2020,7+,6.4,80%,91
467,Sleeping with Other People,2015,18+,6.5,64%,101
468,What Lies Beneath,2000,13+,6.6,46%,130
469,Fractured,2019,18+,6.4,62%,99
470,Master Z: Ip Man Legacy,2018,13+,6.5,89%,107
471,Neruda,2016,18+,6.9,93%,107
472,One Day,2011,13+,7,36%,107
473,Just Friends,2005,13+,6.2,42%,96
474,Aśoka,2001,18+,6.5,100%,30
475,Harold and Lillian: A Hollywood Love Story,2017,,8,97%,94
476,The Grinch,2018,7+,6.3,59%,104
477,Qarib Qarib Singlle,2017,,7,88%,125
478,Beasts of No Nation,2015,,7.7,91%,137
